district,transaction_date,sqft,price_aed,project_stage,lat,lng,distance_to_beach_km,drive_time_burj_khalifa_min,amenity_density_1km,has_waterfront_view,developer_tier,floor_level,service_charge_aed,supply_pressure_2y,momentum_3m,momentum_6m,momentum_12m,roi_pct,days_on_market,12_month_appreciation_pct
Madinat Al Mataar,2026-08-12,380.5074,652000.0,1,24.9170063,55.1057072,18.11,88,1,0,2,21,20.0,261,4.1,7.609232888254831,10.623153574157097,5.71,49,7.0
Dubai Investment Park Second,2026-08-12,1422.13968,2184570.0,1,25.06,55.2,7.09,42,6,0,2,20,16.6,1845,2.7,5.01095824348489,6.99573528054248,8.39,88,12.9
Madinat Al Mataar,2026-08-12,381.90671999999995,729000.0,1,24.9170063,55.1057072,18.11,88,1,0,2,53,24.1,261,4.1,7.609232888254831,10.623153574157097,5.71,49,7.0
Jabal Ali Industrial Second,2026-08-12,665.3228399999999,1541934.24,1,25.06,55.2,7.09,42,7,0,1,29,27.2,1312,4.2,7.794823934309828,10.882254880843858,6.79,85,13.2
Jabal Ali Industrial Second,2026-08-12,766.5044399999999,1264197.0,1,25.06,55.2,7.09,42,8,0,2,22,27.8,1312,4.2,7.794823934309828,10.882254880843858,6.79,85,13.2
Al Yelayiss 1,2026-01-21,1550.0159999999998,2824000.0,1,25.06,55.2,7.09,42,12,0,2,47,28.8,1611,4.0,7.423641842199836,10.36405226747034,5.38,56,10.4
Madinat Al Mataar,2026-08-12,354.35088,643680.0,1,24.9170063,55.1057072,18.11,88,1,0,2,54,29.5,261,4.1,7.609232888254831,10.623153574157097,5.71,49,7.0
Madinat Al Mataar,2026-08-12,733.5666,1255000.0,1,24.9170063,55.1057072,18.11,88,1,0,2,18,18.8,261,4.1,7.609232888254831,10.623153574157097,5.71,49,7.0
MEYDAN ONE,2026-08-12,1040.8788,4913700.0,1,25.06,55.2,7.09,42,7,0,1,38,22.8,1286,4.9,9.093961256694799,12.695964027651167,6.54,93,3.1
Madinat Al Mataar,2026-08-12,355.85784,743360.0,1,24.9170063,55.1057072,18.11,88,1,0,1,17,28.1,261,4.1,7.609232888254831,10.623153574157097,5.71,49,7.0
DUBAI LAND RESIDENCE COMPLEX,2026-08-12,1160.25156,1666120.0,1,25.0853591,55.382978,25.25,41,8,0,3,13,13.9,182,1.7,3.1550477829349304,4.404722213674894,4.89,27,5.8
MAJAN,2026-08-12,401.28192,714999.0,1,25.0929388,55.3184835,18.8,30,16,0,2,36,16.7,1246,1.7,3.1550477829349304,4.404722213674894,5.22,118,5.0
Al Hebiah Fifth,2026-08-12,355.10436,660570.0,1,25.06,55.2,7.09,42,10,0,2,27,28.4,962,2.2,4.08300301320991,5.700228747108688,9.24,48,9.3
JUMEIRAH VILLAGE TRIANGLE,2026-08-12,661.55544,1297422.0,1,25.0498433,55.1907008,6.65,45,10,0,1,54,18.8,959,3.4,6.310095565869861,8.809444427349788,8.89,50,13.4
Al Thanyah Fifth,2026-08-12,1671.9721200000001,4597828.0,1,25.06,55.2,7.09,42,6,0,1,22,28.1,506,2.3,4.268594059264905,5.959330053795445,5.52,25,4.0
Jabal Ali First,2026-08-12,610.42644,1977761.0,1,25.0256607,55.1142032,6.16,62,1,0,1,52,25.5,1677,4.0,7.423641842199836,10.36405226747034,7.86,54,10.9
DUBAI LAND RESIDENCE COMPLEX,2026-01-21,767.15028,1160722.23,1,25.0853591,55.382978,25.25,41,7,0,2,19,20.1,182,1.7,3.1550477829349304,4.404722213674894,4.89,27,5.8
Al Hebiah Fifth,2026-08-12,1179.7343999999998,1677160.0,1,25.06,55.2,7.09,42,8,0,3,4,12.0,962,2.2,4.08300301320991,5.700228747108688,9.24,48,9.3
JUMEIRAH LAKES TOWERS,2026-08-12,589.97484,1564294.84,1,25.06,55.2,7.09,42,12,0,1,40,28.4,637,2.8,5.196549289539885,7.254836587229238,8.84,105,9.3
SAMA AL JADAF,2026-08-12,664.56936,1200000.0,1,25.06,55.2,7.09,42,4,0,2,39,28.1,1707,1.6,2.9694567368799345,4.145620906988136,7.5,109,8.4
BUSINESS BAY,2026-08-14,688.0348799999999,3368964.1,1,25.185,55.265,17.79,4,27,0,1,44,25.9,594,3.8,7.052459750089844,9.845849654096822,5.92,85,6.1
Madinat Al Mataar,2026-08-12,381.90671999999995,703000.0,1,24.9170063,55.1057072,18.11,88,1,0,2,27,15.9,261,4.1,7.609232888254831,10.623153574157097,5.71,49,7.0
BUSINESS BAY,2026-08-12,1375.96212,4523310.0,1,25.185,55.265,17.79,4,26,0,1,49,20.1,594,3.8,7.052459750089844,9.845849654096822,5.92,85,6.1
Madinat Al Mataar,2026-08-12,785.1261599999999,1294560.0,1,24.9170063,55.1057072,18.11,88,1,0,2,39,29.1,261,4.1,7.609232888254831,10.623153574157097,5.71,49,7.0
DUBAI LAND RESIDENCE COMPLEX,2026-08-12,410.32367999999997,650000.0,1,25.0853591,55.382978,25.25,41,10,0,2,49,25.4,182,1.7,3.1550477829349304,4.404722213674894,4.89,27,5.8
DUBAI LAND RESIDENCE COMPLEX,2026-08-12,671.24304,1006490.16,1,25.0853591,55.382978,25.25,41,4,0,3,4,14.1,182,1.7,3.1550477829349304,4.404722213674894,4.89,27,5.8
DUBAI PRODUCTION CITY,2026-08-12,410.43132,777574.99,1,25.0321285,55.1912732,7.83,50,5,0,2,45,18.1,1117,2.9,5.382140335594881,7.513937893915997,8.36,20,5.9
MAJAN,2026-01-21,374.26428,721999.0,1,25.0929388,55.3184835,18.8,30,19,0,2,25,15.1,1246,1.7,3.1550477829349304,4.404722213674894,5.22,118,5.0
DUBAI SCIENCE PARK,2026-08-12,452.19563999999997,750000.0,1,25.0735423,55.2412462,10.96,35,10,0,2,19,28.1,1318,1.5,2.7838656908249386,3.8865196003013773,4.65,96,4.0
JUMEIRAH LAKES TOWERS,2026-08-12,1666.9130400000001,2372753.73,1,25.06,55.2,7.09,42,4,0,3,8,10.8,637,2.8,5.196549289539885,7.254836587229238,8.84,105,9.3
DUBAI SPORTS CITY,2026-08-12,1704.1564799999999,2230148.0,1,25.06,55.2,7.09,42,8,0,3,3,12.9,1242,3.9,7.23805079614484,10.104950960783581,5.82,44,9.9
Madinat Al Mataar,2026-08-12,354.02796,736896.0,1,24.9170063,55.1057072,18.11,88,1,0,1,42,23.1,261,4.1,7.609232888254831,10.623153574157097,5.71,49,7.0
Madinat Al Mataar,2026-08-12,380.61503999999996,700000.0,1,24.9170063,55.1057072,18.11,88,1,0,2,33,20.7,261,4.1,7.609232888254831,10.623153574157097,5.71,49,7.0
Madinat Al Mataar,2026-08-12,352.62863999999996,727200.0,1,24.9170063,55.1057072,18.11,88,1,0,1,59,22.7,261,4.1,7.609232888254831,10.623153574157097,5.71,49,7.0
Madinat Al Mataar,2026-08-12,353.48976,759520.0,1,24.9170063,55.1057072,18.11,88,1,0,1,16,15.1,261,4.1,7.609232888254831,10.623153574157097,5.71,49,7.0
Madinat Al Mataar,2026-08-12,379.75392,641900.0,1,24.9170063,55.1057072,18.11,88,1,0,2,50,27.4,261,4.1,7.609232888254831,10.623153574157097,5.71,49,7.0
Madinat Al Mataar,2026-08-12,354.02796,759520.0,1,24.9170063,55.1057072,18.11,88,1,0,1,41,29.5,261,4.1,7.609232888254831,10.623153574157097,5.71,49,7.0
Madinat Al Mataar,2026-08-12,380.5074,617000.0,1,24.9170063,55.1057072,18.11,88,1,0,2,35,15.9,261,4.1,7.609232888254831,10.623153574157097,5.71,49,7.0
ARJAN,2026-01-05,447.99767999999995,745348.0,1,25.0603309,55.2354858,10.56,39,14,0,2,47,23.5,841,2.7,5.01095824348489,6.99573528054248,8.04,24,14.7
Palm Deira,2026-01-21,1287.6973199999998,2300000.0,1,25.2761408,55.3016752,27.72,22,18,0,2,23,23.0,126,3.1,5.753322427704873,8.032140507289514,6.86,21,4.8
Al Thanyah Fifth,2026-08-12,796.85892,2129828.0,1,25.06,55.2,7.09,42,9,0,1,28,22.2,506,2.3,4.268594059264905,5.959330053795445,5.52,25,4.0
Al Hebiah First,2026-08-12,499.9878,803999.0,1,25.06,55.2,7.09,42,7,0,2,24,29.4,1726,4.4,8.16600602641982,11.400457494217376,6.34,57,6.4
Madinat Al Mataar,2026-08-12,684.3751199999999,1244340.0,1,24.9170063,55.1057072,18.11,88,1,0,2,43,23.7,261,4.1,7.609232888254831,10.623153574157097,5.71,49,7.0
Madinat Al Mataar,2026-08-12,352.41336,759520.0,1,24.9170063,55.1057072,18.11,88,1,0,1,59,28.6,261,4.1,7.609232888254831,10.623153574157097,5.71,49,7.0
Madinat Al Mataar,2026-08-12,354.02796,759520.0,1,24.9170063,55.1057072,18.11,88,1,0,1,45,22.2,261,4.1,7.609232888254831,10.623153574157097,5.71,49,7.0
JUMEIRAH VILLAGE TRIANGLE,2026-08-12,651.43728,1100000.0,1,25.0498433,55.1907008,6.65,45,7,0,2,28,26.8,959,3.4,6.310095565869861,8.809444427349788,8.89,50,13.4
Madinat Al Mataar,2026-08-12,353.92032,725800.0,1,24.9170063,55.1057072,18.11,88,1,0,1,19,18.2,261,4.1,7.609232888254831,10.623153574157097,5.71,49,7.0
Madinat Al Mataar,2026-08-12,379.75392,655000.0,1,24.9170063,55.1057072,18.11,88,1,0,2,30,29.1,261,4.1,7.609232888254831,10.623153574157097,5.71,49,7.0
Madinat Al Mataar,2026-08-12,356.71896,702880.0,1,24.9170063,55.1057072,18.11,88,1,0,1,46,17.7,261,4.1,7.609232888254831,10.623153574157097,5.71,49,7.0
Madinat Al Mataar,2026-08-12,354.24323999999996,735280.0,1,24.9170063,55.1057072,18.11,88,1,0,1,46,28.0,261,4.1,7.609232888254831,10.623153574157097,5.71,49,7.0
DUBAI PRODUCTION CITY,2026-01-21,416.99736,701441.91,1,25.0321285,55.1912732,7.83,50,4,0,2,37,27.2,1117,2.9,5.382140335594881,7.513937893915997,8.36,20,5.9
Madinat Al Mataar,2026-08-12,720.97272,1168500.0,1,24.9170063,55.1057072,18.11,88,1,0,2,47,15.0,261,4.1,7.609232888254831,10.623153574157097,5.71,49,7.0
BUSINESS PARK,2026-08-12,363.28499999999997,1350000.0,1,25.048462,55.2349614,10.84,42,9,0,1,18,17.5,671,2.4,4.454185105319901,6.218431360482204,7.1,85,12.8
Madinat Al Mataar,2026-08-12,380.61503999999996,621000.0,1,24.9170063,55.1057072,18.11,88,1,0,2,26,22.9,261,4.1,7.609232888254831,10.623153574157097,5.71,49,7.0
DOWN TOWN JABAL ALI,2026-08-12,998.79156,1366820.0,1,25.06,55.2,7.09,42,4,0,3,9,13.5,1711,1.9,3.526229875044922,4.922924827048411,5.8,83,4.3
DOWN TOWN JABAL ALI,2026-08-12,348.43067999999994,565000.0,1,25.06,55.2,7.09,42,5,0,2,36,28.8,1711,1.9,3.526229875044922,4.922924827048411,5.8,83,4.3
Madinat Al Mataar,2026-08-12,708.4864799999999,1155360.0,1,24.9170063,55.1057072,18.11,88,1,0,2,59,28.1,261,4.1,7.609232888254831,10.623153574157097,5.71,49,7.0
Al Hebiah First,2026-08-12,911.49552,1100000.0,1,25.06,55.2,7.09,42,12,0,3,8,12.7,1726,4.4,8.16600602641982,11.400457494217376,6.34,57,6.4
Madinat Al Mataar,2026-08-12,381.36852,692000.0,1,24.9170063,55.1057072,18.11,88,1,0,2,45,29.7,261,4.1,7.609232888254831,10.623153574157097,5.71,49,7.0
DOWN TOWN JABAL ALI,2026-08-12,691.2640799999999,967000.0,1,25.06,55.2,7.09,42,9,0,3,8,12.8,1711,1.9,3.526229875044922,4.922924827048411,5.8,83,4.3
Madinat Al Mataar,2026-08-12,361.02455999999995,767600.0,1,24.9170063,55.1057072,18.11,88,1,0,1,19,16.5,261,4.1,7.609232888254831,10.623153574157097,5.71,49,7.0
Palm Deira,2026-01-21,866.60964,2624000.0,1,25.2761408,55.3016752,27.72,22,16,0,1,20,27.3,126,3.1,5.753322427704873,8.032140507289514,6.86,21,4.8
Madinat Al Mataar,2026-08-12,380.61503999999996,633000.0,1,24.9170063,55.1057072,18.11,88,1,0,2,24,24.1,261,4.1,7.609232888254831,10.623153574157097,5.71,49,7.0
MAJAN,2026-08-12,401.38955999999996,560000.0,1,25.0929388,55.3184835,18.8,30,10,0,3,6,13.0,1246,1.7,3.1550477829349304,4.404722213674894,5.22,118,5.0
AL FURJAN,2026-08-12,594.28044,919800.0,1,25.06,55.2,7.09,42,11,0,2,41,23.4,617,4.5,8.351597072474815,11.659558800904133,8.67,86,6.5
Madinat Al Mataar,2026-08-12,354.24323999999996,727200.0,1,24.9170063,55.1057072,18.11,88,1,0,1,28,23.1,261,4.1,7.609232888254831,10.623153574157097,5.71,49,7.0
DUBAI INDUSTRIAL CITY,2026-08-12,400.74371999999994,528343.0,1,25.06,55.2,7.09,42,10,0,3,1,10.1,1114,2.0,3.711820921099918,5.18202613373517,8.05,47,7.3
Madinat Al Mataar,2026-08-12,352.41336,767600.0,1,24.9170063,55.1057072,18.11,88,1,0,1,50,18.6,261,4.1,7.609232888254831,10.623153574157097,5.71,49,7.0
Madinat Al Mataar,2026-08-12,344.98619999999994,667000.0,1,24.9170063,55.1057072,18.11,88,1,0,1,25,15.7,261,4.1,7.609232888254831,10.623153574157097,5.71,49,7.0
Madinat Al Mataar,2026-08-12,344.98619999999994,589000.0,1,24.9170063,55.1057072,18.11,88,1,0,2,20,16.5,261,4.1,7.609232888254831,10.623153574157097,5.71,49,7.0
MAJAN,2026-08-12,407.30976000000004,560000.0,1,25.0929388,55.3184835,18.8,30,17,0,3,3,11.9,1246,1.7,3.1550477829349304,4.404722213674894,5.22,118,5.0
Madinat Al Mataar,2026-08-12,379.00043999999997,716760.0,1,24.9170063,55.1057072,18.11,88,1,0,2,34,23.2,261,4.1,7.609232888254831,10.623153574157097,5.71,49,7.0
Al Yelayiss 1,2026-01-21,1550.0159999999998,2903000.0,1,25.06,55.2,7.09,42,10,0,2,57,23.9,1611,4.0,7.423641842199836,10.36405226747034,5.38,56,10.4
DUBAI INDUSTRIAL CITY,2026-08-12,390.41028,510600.0,1,25.06,55.2,7.09,42,9,0,3,8,12.9,1114,2.0,3.711820921099918,5.18202613373517,8.05,47,7.3
DUBAI SCIENCE PARK,2026-08-12,415.81332,835999.0,1,25.0735423,55.2412462,10.96,35,12,0,1,30,28.7,1318,1.5,2.7838656908249386,3.8865196003013773,4.65,96,4.0
DOWN TOWN JABAL ALI,2026-08-12,348.53832,544500.0,1,25.06,55.2,7.09,42,4,0,2,59,24.6,1711,1.9,3.526229875044922,4.922924827048411,5.8,83,4.3
Madinat Al Mataar,2026-08-12,799.7651999999999,1124070.0,1,24.9170063,55.1057072,18.11,88,1,0,3,5,11.4,261,4.1,7.609232888254831,10.623153574157097,5.71,49,7.0
DUBAI INDUSTRIAL CITY,2026-08-12,423.77867999999995,477000.0,1,25.06,55.2,7.09,42,12,0,3,4,12.6,1114,2.0,3.711820921099918,5.18202613373517,8.05,47,7.3
DUBAI INDUSTRIAL CITY,2026-08-12,410.21603999999996,476150.0,1,25.06,55.2,7.09,42,9,0,3,6,11.8,1114,2.0,3.711820921099918,5.18202613373517,8.05,47,7.3
Madinat Al Mataar,2026-08-12,353.92032,751440.0,1,24.9170063,55.1057072,18.11,88,1,0,1,27,23.5,261,4.1,7.609232888254831,10.623153574157097,5.71,49,7.0
Madinat Al Mataar,2026-08-12,344.98619999999994,747000.0,1,24.9170063,55.1057072,18.11,88,1,0,1,45,19.1,261,4.1,7.609232888254831,10.623153574157097,5.71,49,7.0
DUBAI LAND RESIDENCE COMPLEX,2026-08-12,1070.69508,1334550.0,1,25.0853591,55.382978,25.25,41,10,0,3,12,11.5,182,1.7,3.1550477829349304,4.404722213674894,4.89,27,5.8
DOWN TOWN JABAL ALI,2026-08-12,318.39912,500780.0,1,25.06,55.2,7.09,42,4,0,2,26,18.0,1711,1.9,3.526229875044922,4.922924827048411,5.8,83,4.3
BUSINESS BAY,2026-01-21,1238.50584,3469999.0,1,25.185,55.265,17.79,4,27,0,1,30,22.3,594,3.8,7.052459750089844,9.845849654096822,5.92,85,6.1
CITY OF ARABIA,2026-08-12,736.14996,1205000.0,1,25.06,55.2,7.09,42,4,0,2,38,24.9,963,4.4,8.16600602641982,11.400457494217376,7.12,56,12.4
DUBAI SOUTH,2026-08-12,1332.15264,1580000.0,1,24.9144391,55.1615128,18.41,83,1,0,3,2,14.5,838,2.9,5.382140335594881,7.513937893915997,8.51,29,7.7
Madinat Al Mataar,2026-08-12,353.92032,767600.0,1,24.9170063,55.1057072,18.11,88,1,0,1,40,21.0,261,4.1,7.609232888254831,10.623153574157097,5.71,49,7.0
Madinat Al Mataar,2026-08-12,380.61503999999996,626000.0,1,24.9170063,55.1057072,18.11,88,1,0,2,42,27.4,261,4.1,7.609232888254831,10.623153574157097,5.71,49,7.0
DUBAI STUDIO CITY,2026-08-12,344.55564,568000.0,1,25.0415641,55.2522587,12.73,43,9,0,2,32,26.9,978,3.6,6.6812776579798525,9.327647040723306,5.0,80,3.1
Madinat Al Mataar,2026-08-12,382.6601999999999,707000.0,1,24.9170063,55.1057072,18.11,88,1,0,2,47,17.4,261,4.1,7.609232888254831,10.623153574157097,5.71,49,7.0
Madinat Al Mataar,2026-08-12,380.61503999999996,696000.0,1,24.9170063,55.1057072,18.11,88,1,0,2,23,15.1,261,4.1,7.609232888254831,10.623153574157097,5.71,49,7.0
CITY OF ARABIA,2026-08-12,746.5910399999999,1208000.0,1,25.06,55.2,7.09,42,6,0,2,16,15.2,963,4.4,8.16600602641982,11.400457494217376,7.12,56,12.4
DOWN TOWN JABAL ALI,2026-08-12,326.68739999999997,590040.0,1,25.06,55.2,7.09,42,4,0,2,43,15.0,1711,1.9,3.526229875044922,4.922924827048411,5.8,83,4.3
Madinat Al Mataar,2026-08-12,380.61503999999996,626000.0,1,24.9170063,55.1057072,18.11,88,1,0,2,51,21.7,261,4.1,7.609232888254831,10.623153574157097,5.71,49,7.0
Madinat Al Mataar,2026-01-21,1492.3209599999998,2124828.0,1,24.9170063,55.1057072,18.11,88,1,0,3,11,11.1,261,4.1,7.609232888254831,10.623153574157097,5.71,49,7.0
Madinat Al Mataar,2026-08-12,380.61503999999996,628000.0,1,24.9170063,55.1057072,18.11,88,1,0,2,31,26.5,261,4.1,7.609232888254831,10.623153574157097,5.71,49,7.0
Madinat Al Mataar,2026-08-12,380.61503999999996,699000.0,1,24.9170063,55.1057072,18.11,88,1,0,2,53,27.5,261,4.1,7.609232888254831,10.623153574157097,5.71,49,7.0
CITY OF ARABIA,2026-08-12,1401.3651599999998,2595000.0,1,25.06,55.2,7.09,42,5,0,2,37,17.7,963,4.4,8.16600602641982,11.400457494217376,7.12,56,12.4
Madinat Al Mataar,2026-08-12,381.5838,645000.0,1,24.9170063,55.1057072,18.11,88,1,0,2,35,23.9,261,4.1,7.609232888254831,10.623153574157097,5.71,49,7.0
MAJAN,2026-08-12,413.66051999999996,570000.0,1,25.0929388,55.3184835,18.8,30,10,0,3,7,12.5,1246,1.7,3.1550477829349304,4.404722213674894,5.22,118,5.0
CITY OF ARABIA,2026-08-12,847.2344399999998,1407000.0,1,25.06,55.2,7.09,42,12,0,2,54,20.0,963,4.4,8.16600602641982,11.400457494217376,7.12,56,12.4
Al Hebiah First,2026-08-12,680.71536,1300999.0,1,25.06,55.2,7.09,42,5,0,2,31,18.6,1726,4.4,8.16600602641982,11.400457494217376,6.34,57,6.4
CITY OF ARABIA,2026-08-12,698.6912399999999,1084000.0,1,25.06,55.2,7.09,42,10,0,2,29,24.1,963,4.4,8.16600602641982,11.400457494217376,7.12,56,12.4
CITY OF ARABIA,2026-08-12,654.3435599999999,1036000.0,1,25.06,55.2,7.09,42,10,0,2,58,21.5,963,4.4,8.16600602641982,11.400457494217376,7.12,56,12.4
Madinat Al Mataar,2026-08-12,356.8266,745000.0,1,24.9170063,55.1057072,18.11,88,1,0,1,41,24.7,261,4.1,7.609232888254831,10.623153574157097,5.71,49,7.0
MAJAN,2026-02-07,422.16407999999996,830166.67,1,25.0929388,55.3184835,18.8,30,16,0,1,56,26.7,1246,1.7,3.1550477829349304,4.404722213674894,5.22,118,5.0
CITY OF ARABIA,2026-08-12,340.25003999999996,608000.0,1,25.06,55.2,7.09,42,6,0,2,40,29.8,963,4.4,8.16600602641982,11.400457494217376,7.12,56,12.4
CITY OF ARABIA,2026-08-12,338.95835999999997,610830.0,1,25.06,55.2,7.09,42,10,0,2,31,15.0,963,4.4,8.16600602641982,11.400457494217376,7.12,56,12.4
CITY OF ARABIA,2026-08-12,340.35768,583100.0,1,25.06,55.2,7.09,42,7,0,2,27,22.6,963,4.4,8.16600602641982,11.400457494217376,7.12,56,12.4
CITY OF ARABIA,2026-08-12,1095.88284,2238000.0,1,25.06,55.2,7.09,42,7,0,1,19,19.2,963,4.4,8.16600602641982,11.400457494217376,7.12,56,12.4
CITY OF ARABIA,2026-08-12,339.49656,588060.0,1,25.06,55.2,7.09,42,10,0,2,50,28.1,963,4.4,8.16600602641982,11.400457494217376,7.12,56,12.4
Jabal Ali First,2026-08-12,610.42644,1968605.0,1,25.0256607,55.1142032,6.16,62,1,0,1,20,26.0,1677,4.0,7.423641842199836,10.36405226747034,7.86,54,10.9
CITY OF ARABIA,2026-08-12,339.71183999999994,608000.0,1,25.06,55.2,7.09,42,9,0,2,46,17.1,963,4.4,8.16600602641982,11.400457494217376,7.12,56,12.4
Madinat Al Mataar,2026-08-12,352.41336,654480.0,1,24.9170063,55.1057072,18.11,88,1,0,2,28,27.5,261,4.1,7.609232888254831,10.623153574157097,5.71,49,7.0
CITY OF ARABIA,2026-08-12,650.03796,1046000.0,1,25.06,55.2,7.09,42,8,0,2,56,22.9,963,4.4,8.16600602641982,11.400457494217376,7.12,56,12.4
CITY OF ARABIA,2026-08-12,730.44504,1246000.0,1,25.06,55.2,7.09,42,7,0,2,39,23.1,963,4.4,8.16600602641982,11.400457494217376,7.12,56,12.4
DUBAI PRODUCTION CITY,2026-01-21,769.0878,1208083.46,1,25.0321285,55.1912732,7.83,50,1,0,2,27,22.3,1117,2.9,5.382140335594881,7.513937893915997,8.36,20,5.9
CITY OF ARABIA,2026-08-12,338.85071999999997,605880.0,1,25.06,55.2,7.09,42,4,0,2,52,24.8,963,4.4,8.16600602641982,11.400457494217376,7.12,56,12.4
Madinat Al Mataar,2026-08-12,355.10436,735280.0,1,24.9170063,55.1057072,18.11,88,1,0,1,54,23.8,261,4.1,7.609232888254831,10.623153574157097,5.71,49,7.0
CITY OF ARABIA,2026-08-12,339.92711999999995,601720.0,1,25.06,55.2,7.09,42,5,0,2,49,28.8,963,4.4,8.16600602641982,11.400457494217376,7.12,56,12.4
CITY OF ARABIA,2026-08-12,1403.6256,2463000.0,1,25.06,55.2,7.09,42,13,0,2,24,27.6,963,4.4,8.16600602641982,11.400457494217376,7.12,56,12.4
Al Yufrah 1,2026-08-12,540.0298799999999,1042258.0,1,25.06,55.2,7.09,42,10,0,2,48,17.7,934,3.0,5.567731381649877,7.773039200602755,8.67,66,2.8
Madinat Al Mataar,2026-08-12,354.02796,711040.0,1,24.9170063,55.1057072,18.11,88,1,0,1,17,28.2,261,4.1,7.609232888254831,10.623153574157097,5.71,49,7.0
CITY OF ARABIA,2026-08-12,654.3435599999999,980980.0,1,25.06,55.2,7.09,42,9,0,3,8,12.2,963,4.4,8.16600602641982,11.400457494217376,7.12,56,12.4
CITY OF ARABIA,2026-08-12,339.71183999999994,580140.0,1,25.06,55.2,7.09,42,7,0,2,29,17.6,963,4.4,8.16600602641982,11.400457494217376,7.12,56,12.4
Madinat Al Mataar,2026-08-12,774.5774399999999,1338000.0,1,24.9170063,55.1057072,18.11,88,1,0,2,24,15.7,261,4.1,7.609232888254831,10.623153574157097,5.71,49,7.0
BURJ KHALIFA,2026-01-21,843.1441199999999,434217.0,1,25.197,55.274,19.36,0,34,0,3,5,13.6,1554,1.6,2.9694567368799345,4.145620906988136,6.4,96,12.5
CITY OF ARABIA,2026-08-12,703.4273999999999,1278000.0,1,25.06,55.2,7.09,42,9,0,2,35,20.7,963,4.4,8.16600602641982,11.400457494217376,7.12,56,12.4
CITY OF ARABIA,2026-08-12,339.92711999999995,618000.0,1,25.06,55.2,7.09,42,6,0,2,49,25.4,963,4.4,8.16600602641982,11.400457494217376,7.12,56,12.4
DMCC-EZ2,2026-08-12,691.0488,2149166.0,1,25.06,55.2,7.09,42,8,0,1,50,17.6,692,3.9,7.23805079614484,10.104950960783581,5.8,96,3.1
CITY OF ARABIA,2026-08-12,338.85071999999997,609840.0,1,25.06,55.2,7.09,42,5,0,2,23,25.0,963,4.4,8.16600602641982,11.400457494217376,7.12,56,12.4
Al Hebiah First,2026-08-12,732.1672799999999,1100001.12,1,25.06,55.2,7.09,42,13,0,3,59,14.6,1726,4.4,8.16600602641982,11.400457494217376,6.34,57,6.4
JUMEIRAH VILLAGE TRIANGLE,2026-08-12,657.57276,1080000.0,1,25.0498433,55.1907008,6.65,45,7,0,2,57,18.4,959,3.4,6.310095565869861,8.809444427349788,8.89,50,13.4
Al Hebiah First,2026-08-12,767.90376,1100000.0,1,25.06,55.2,7.09,42,10,0,3,12,11.2,1726,4.4,8.16600602641982,11.400457494217376,6.34,57,6.4
DUBAI SCIENCE PARK,2026-08-12,360.594,776999.0,1,25.0735423,55.2412462,10.96,35,8,0,1,29,17.0,1318,1.5,2.7838656908249386,3.8865196003013773,4.65,96,4.0
JUMEIRAH VILLAGE TRIANGLE,2026-08-12,651.43728,1250999.0,1,25.0498433,55.1907008,6.65,45,11,0,2,25,28.0,959,3.4,6.310095565869861,8.809444427349788,8.89,50,13.4
BUSINESS PARK,2026-08-12,340.68059999999997,1250000.0,1,25.048462,55.2349614,10.84,42,4,0,1,53,16.0,671,2.4,4.454185105319901,6.218431360482204,7.1,85,12.8
BURJ KHALIFA,2026-01-21,843.1441199999999,450225.0,1,25.197,55.274,19.36,0,32,0,3,13,10.4,1554,1.6,2.9694567368799345,4.145620906988136,6.4,96,12.5
BUSINESS PARK,2026-08-12,340.68059999999997,1250000.0,1,25.048462,55.2349614,10.84,42,7,0,1,59,22.0,671,2.4,4.454185105319901,6.218431360482204,7.1,85,12.8
Jabal Ali First,2026-08-13,838.40796,1596000.0,1,25.0256607,55.1142032,6.16,62,1,0,2,26,29.2,1677,4.0,7.423641842199836,10.36405226747034,7.86,54,10.9
Dubai Investment Park Second,2026-08-13,706.6566,990000.0,1,25.06,55.2,7.09,42,10,0,3,1,14.6,1845,2.7,5.01095824348489,6.99573528054248,8.39,88,12.9
Jabal Ali First,2026-08-13,843.8976,1459000.0,1,25.0256607,55.1142032,6.16,62,1,0,2,28,25.8,1677,4.0,7.423641842199836,10.36405226747034,7.86,54,10.9
CITY OF ARABIA,2026-08-13,861.3352799999999,1233000.0,1,25.06,55.2,7.09,42,9,0,3,14,10.3,963,4.4,8.16600602641982,11.400457494217376,7.12,56,12.4
Jabal Ali First,2026-08-13,1343.8854,2403000.0,1,25.0256607,55.1142032,6.16,62,1,0,2,50,18.7,1677,4.0,7.423641842199836,10.36405226747034,7.86,54,10.9
Jabal Ali First,2026-08-13,1189.52964,1696000.0,1,25.0256607,55.1142032,6.16,62,1,0,3,5,11.4,1677,4.0,7.423641842199836,10.36405226747034,7.86,54,10.9
Jabal Ali First,2026-08-13,838.40796,1602000.0,1,25.0256607,55.1142032,6.16,62,1,0,2,44,24.5,1677,4.0,7.423641842199836,10.36405226747034,7.86,54,10.9
DUBAI MARITIME CITY,2026-08-13,602.56872,2180000.0,1,25.2496256,55.276165,23.83,14,22,0,1,30,19.4,994,2.6,4.825367197429894,6.736633973855722,7.9,87,6.9
